DATE,PLAYER,PLAYER ROLE,OPP,PREDICTION,BOOK LINE,OVER/UNDER,ACTUAL,DIFFERENCE,% ERROR,NOTES,TYPE,TIER,HIT/MISS,# TRAINED ON,R^2,,,,,,,,,,
7/20/2026,Azzi Fudd,Specialist,NYL,2.04,2.5,UNDER,2,-0.04,,,AST,LOCK,Hit,,0.2813,,,,,,,,,,
7/20/2026,"Sonia Citron",Engine,GSV,16.59,14.5,OVER,17,0.41,,,PTS,LEAN,Hit,,0.2049,,,,,,,,,,
7/20/2026,Sonia Citron,Engine,GSV,3.7,3.5,OVER,2,-1.7,,,REB,LEAN,Miss,,0.2035,,,,,,,,,,
7/20/2026,Sonia Citron,Engine,GSV,1.24,1.5,UNDER,0,-1.24,,,FG3M,LEAN,Hit,,-1.4324,,,,,,,,,,
7/20/2026,Sabrina Ionescu,Secondary Scorer,DAL,3.82,3.5,OVER,4,0.18,,,REB,LEAN,Hit,,0.1983,,,,,,,,,,
7/20/2026,Kayla Thornton,Connector,WAS,5.05,4.5,OVER,3,-2.05,,,REB,LEAN,Miss,,0.0707,,,,,,,,,,
7/20/2026,Courtney Williams,Connector,SEA,4.53,5.5,UNDER,4,-0.53,,,REB,LOCK,Hit,,0.069,,,,,,,,,,
7/20/2026,Gabby Williams,Engine,WAS,2.77,2.5,OVER,2,-0.77,,,AST,LEAN,Miss,,0.0536,,,,,,,,,,
7/20/2026,Chelsea Gray,Creator,TOR,12.29,11.5,OVER,14,1.71,,,PTS,STRONG,Hit,,-0.0136,,,,,,,,,,
7/20/2026,Breanna Stewart,Engine,DAL,2.4,3.5,UNDER,8,5.6,,,AST,STRONG,Miss,,-0.0152,,,,,,,,,,
7/20/2026,Courtney Williams,Connector,SEA,4.17,4.5,OVER,8,3.83,,,AST,LEAN,Hit,,-0.0436,,,,,,,,,,
7/20/2026,Natasha Howard,Rebounding/Defense,SEA,8.18,7.5,OVER,12,3.82,,,REB,STRONG,Hit,,-0.062,,,,,,,,,,
7/20/2026,Gabby Williams,Engine,WAS,1.37,1.5,UNDER,0,-1.37,,,FG3M,LEAN,Hit,,-0.0944,,,,,,,,,,
7/20/2026,Veronica Burton,Connector,WAS,3.89,3.5,OVER,2,-1.89,,,REB,LEAN,Miss,,-0.097,,,,,,,,,,
7/20/2026,Jonquel Jones,Secondary Scorer,DAL,2.34,2.5,UNDER,2,-0.34,,,AST,LEAN,Hit,,-0.1076,,,,,,,,,,
7/20/2026,Sabrina Ionescu,Secondary Scorer,DAL,4.84,4.5,OVER,2,-2.84,,,AST,LEAN,Miss,,-0.1522,,,,,,,,,,
7/20/2026,Jewell Loyd,Bench,TOR,2.63,2.5,OVER,1,-1.63,,,REB,STRONG,Miss,,-0.1587,,,,,,,,,,
7/20/2026,Veronica Burton,Connector,WAS,0.89,1.5,UNDER,2,1.11,,,FG3M,STRONG,Miss,,-0.2021,,,,,,,,,,
7/20/2026,Breanna Stewart,Engine,DAL,8.03,7.5,OVER,13,4.97,,,REB,LEAN,Hit,,-0.239,,,,,,,,,,
7/20/2026,Jessica Shepard,Secondary Scorer,NYL,3.62,6.5,UNDER,6,2.38,,,AST,LOCK,Hit,,-0.3381,,,,,,,,,,
7/20/2026,Jackie Young,Secondary Scorer,TOR,5.79,6.5,UNDER,12,6.21,,,AST,LOCK,Miss,,-0.3881,,,,,,,,,,
7/20/2026,Marina Mabrey,Engine,LV,3.17,3.5,UNDER,2,-1.17,,,REB,LEAN,Hit,,-0.3937,,,,,,,,,,
7/20/2026,Marina Mabrey,Engine,LV,4.02,3.5,OVER,5,0.98,,,REB,LEAN,Hit,,-0.3937,,,,,,,,,,
7/20/2026,Kiki Iriafen,Secondary Scorer,GSV,17.6,12.5,OVER,23,5.4,,,PTS,LEAN,Hit,,-0.4236,,,,,,,,,,
7/20/2026,Azzi Fudd,Specialist,NYL,1.72,2.5,UNDER,3,1.28,,,FG3M,LOCK,Miss,,-0.4898,,,,,,,,,,
7/20/2026,Sabrina Ionescu,Secondary Scorer,DAL,2.21,2.5,UNDER,2,-0.21,,,FG3M,LEAN,Hit,,-0.4938,,,,,,,,,,
7/20/2026,Shakira Austin,Secondary Scorer,GSV,7.91,9.5,UNDER,15,7.09,,,REB,STRONG,Miss,,-0.5067,,,,,,,,,,
7/20/2026,Jonquel Jones,Secondary Scorer,DAL,2.56,1.5,OVER,1,-1.56,,,FG3M,LEAN,Miss,,-0.6582,,,,,,,,,,
7/20/2026,Jessica Shepard,Secondary Scorer,NYL,10.62,12.5,UNDER,16,5.38,,,REB,LEAN,Miss,,-0.6599,,,,,,,,,,
7/20/2026,Olivia Miles,Engine,SEA,0.66,1.5,UNDER,1,0.34,,,FG3M,LEAN,Hit,,-0.6618,,,,,,,,,,
7/20/2026,Olivia Miles,Engine,SEA,5,4.5,OVER,8,3,,,REB,LOCK,Hit,,-0.8656,,,,,,,,,,
7/20/2026,Chelsea Gray,Creator,TOR,1.77,1.5,OVER,3,1.23,,,FG3M,STRONG,Hit,,-0.8814,,,,,,,,,,
7/20/2026,Jonquel Jones,Secondary Scorer,DAL,9.09,8.5,OVER,10,0.91,,,REB,LEAN,Hit,,-0.9303,,,,,,,,,,
7/20/2026,Kayla Thornton,Connector,WAS,12.89,7.5,OVER,15,2.11,,,PTS,LEAN,Hit,,-1.0045,,,,,,,,,,
7/20/2026,Kayla Thornton,Connector,WAS,2.98,1.5,OVER,4,1.02,,,FG3M,STRONG,Hit,,-1.3727,,,,,,,,,,
7/20/2026,Chelsea Gray,Creator,TOR,4.03,3.5,OVER,4,-0.03,,,REB,LOCK,Hit,,-1.5233,,,,,,,,,,
7/20/2026,Dominique Malonga,Engine,MIN,1.38,1.5,UNDER,1,-0.38,,,AST,LEAN,Hit,,-1.6883,,,,,,,,,,
7/20/2026,Jackie Young,Secondary Scorer,TOR,1.51,1.5,UNDER,4,2.49,,,FG3M,STRONG,Miss,,-1.7252,,,,,,,,,,
7/20/2026,Awa Fam,Rebounding/Defense,MIN,2.2,2.5,UNDER,4,1.8,,,AST,STRONG,Miss,,-1.8226,,,,,,,,,,
7/20/2026,Awa Fam,Rebounding/Defense,MIN,5.04,5.5,UNDER,11,5.96,,,REB,LEAN,Miss,,-1.8256,,,,,,,,,,
7/20/2026,Gabby Williams,Engine,WAS,3.43,2.5,OVER,0,-3.43,,,REB,LEAN,Miss,,-3.0146,,,,,,,,,,
7/20/2026,A'ja Wilson,Engine,TOR,7.28,10.5,UNDER,6,-1.28,,,REB,LOCK,Hit,,-3.4926,,,,,,,,,,
7/20/2026,Dominique Malonga,Engine,MIN,8.05,9.5,UNDER,9,0.95,,,REB,STRONG,Hit,,-3.618,,,,,,,,,,
7/20/2026,Isabelle Harrison,Rebounding/Defense,LV,14.96,12.5,OVER,26,11.04,,,PTS,STRONG,Hit,,-50.1282,,,,,,,,,,
7/22/2026,Olivia Miles,Engine,SEA,4.86,4.5,OVER,3,-1.86,,,REB,STRONG,Miss,,,,,,,,,,,,
7/22/2026,Olivia Miles,Engine,SEA,4.41,6.5,UNDER,6,1.59,,,AST,STRONG,Hit,,,,,,,,,,,,
7/22/2026,KIki Iriafen,Secondary Scorer,LV,9.01,9.5,UNDER,10,0.99,,,REB,LEAN,Miss,,0.1017,,,,,,,,,,
7/22/2026,Sabrina Ionescu,Secondary Scorer,CHI,3.88,3.5,OVER,4,0.12,,,REB,LOCK,Hit,,0.0409,,,,,,,,,,
7/22/2026,Kayla Mcbride,Specialist,SEA,3.4,2.5,OVER,3,-0.4,,,REB,LOCK,Hit,,0.0285,,,,,,,,,,
7/22/2026,Shakira Austin,Secondary Scorer,LV,2.17,2.5,UNDER,3,0.83,,,AST,LEAN,Miss,,0.0006,,,,,,,,,,
7/22/2026,Sonia Citron,Engine,LV,3.97,3.5,OVER,8,4.03,,,AST,LEAN,Hit,,-0.0185,,,,,,,,,,
7/22/2026,Caitlin Clark,Engine,CON,2.15,2.5,UNDER,5,2.85,,,FG3M,STRONG,Miss,,-0.0229,,,,,,,,,,
7/22/2026,Kahleah Copper,Secondary Scorer,LA,2.06,1.5,OVER,1,-1.06,,,FG3M,LOCK,Miss,,-0.0585,,,,,,,,,,
7/22/2026,"Alyssa Thomas",Engine,LA,9.08,7.5,OVER,15,5.92,,,AST,STRONG,Hit,,-0.1241,,,,,,,,,,
7/22/2026,Aliyah Boston,Secondary Scorer,CON,2.93,2.5,OVER,5,2.07,,,AST,LEAN,Hit,,-0.1287,,,,,,,,,,
7/22/2026,Bridget Carleton,Engine,DAL,4.11,3.5,OVER,5,0.89,,,REB,LOCK,Hit,,-0.2614,,,,,,,,,,
7/22/2026,Sonia Citron,Engine,LV,4.01,3.5,OVER,4,-0.01,,,REB,STRONG,Hit,,-0.3045,,,,,,,,,,
7/22/2026,Alyssa Thomas,Engine,LA,16.41,14.5,OVER,19,2.59,,,PTS,LOCK,Hit,,-0.3157,,,,,,,,,,
7/22/2026,Kahleah Copper,Secondary Scorer,LA,4.65,3.5,OVER,2,-2.65,,,REB,LOCK,Miss,,-0.4736,,,,,,,,,,
7/22/2026,Aliyah Boston,Secondary Scorer,CON,8.94,7.5,OVER,6,-2.94,,,REB,LEAN,Miss,,-0.4767,,,,,,,,,,
7/22/2026,Nneka Ogwumike,Engine,CON,1.21,1.5,UNDER,1,-0.21,,,FG3M,LOCK,Hit,,-0.483,,,,,,,,,,
7/22/2026,Nneka Ogwumike,Engine,CON,8.93,9.5,UNDER,13,4.07,,,REB,LEAN,Miss,,-0.4872,,,,,,,,,,
7/22/2026,Dearica Hamby,Secondary Scorer,PHX,15.29,14.5,OVER,18,2.71,,,PTS,LEAN,Hit,,-0.506,,,,,,,,,,
7/22/2026,Jonquel Jones,Secondary Scorer,CHI,8.8,9.5,UNDER,10,1.2,,,REB,STRONG,Miss,,-0.703,,,,,,,,,,
7/22/2026,Shakira Austin,Secondary Scorer,LV,8.76,9.5,UNDER,6,-2.76,,,REB,LEAN,Hit,,-0.717,,,,,,,,,,
7/22/2026,Arike Ogunbowale,Secondary Scorer,POR,1.97,1.5,OVER,3,1.03,,,FG3M,STRONG,Hit,,-0.7447,,,,,,,,,,
7/22/2026,Kelsey Mitchell,Engine,CON,2.85,2.5,OVER,3,0.15,,,FG3M,STRONG,Hit,,-0.7796,,,,,,,,,,
7/22/2026,Alyssa Thomas,Engine,LA,6.95,7.5,UNDER,11,4.05,,,REB,STRONG,Miss,,-0.7922,,,,,,,,,,
7/22/2026,Jessica Shepard,Secondary Scorer,POR,11.57,12.5,UNDER,15,3.43,,,REB,LEAN,Miss,,-0.8474,,,,,,,,,,
7/22/2026,Jonquel Jones,Secondary Scorer,CHI,2.19,1.5,OVER,2,-0.19,,,FG3M,LEAN,Hit,,-0.8583,,,,,,,,,,
7/22/2026,Breanna Stewart,Engine,CHI,0.43,0.5,UNDER,2,1.57,,,FG3M,LEAN,Miss,,-0.8866,,,,,,,,,,
7/22/2026,Arike Ogunbowale,Secondary Scorer,POR,3.67,2.5,OVER,3,-0.67,,,REB,STRONG,Hit,,-0.9434,,,,,,,,,,
7/22/2026,Aliyah Boston,Secondary Scorer,CON,19.37,14.5,OVER,22,2.63,,,PTS,LEAN,Hit,,-0.9822,,,,,,,,,,
7/22/2026,Jonquel Jones,Secondary Scorer,CHI,16.57,14.5,OVER,14,-2.57,,,PTS,LOCK,Miss,,-1.07,,,,,,,,,,
7/22/2026,Aliyah Boston,Secondary Scorer,CON,1.05,1.5,UNDER,0,-1.05,,,FG3M,STRONG,Hit,,-1.0869,,,,,,,,,,
7/22/2026,Carla Leite,Creator,DAL,5.98,5.5,OVER,11,5.02,,,AST,LEAN,Hit,,-1.1275,,,,,,,,,,
7/22/2026,Dearica Hamby,Secondary Scorer,PHX,8.5,7.5,OVER,10,1.5,,,REB,STRONG,Hit,,-1.2314,,,,,,,,,,
7/22/2026,Dearica Hamby,Secondary Scorer,PHX,0.55,0.5,OVER,0,-0.55,,,FG3M,LOCK,Miss,,-1.3663,,,,,,,,,,
7/22/2026,Sonia Citron,Engine,LV,18.16,15.5,OVER,20,1.84,,,PTS,STRONG,Hit,,-1.4528,,,,,,,,,,
7/22/2026,"Sonia Citron",Engine,LV,1.29,1.5,UNDER,1,-0.29,,,FG3M,LOCK,Hit,,-3.0687,,,,,,,,,,
7/28/2026,Awa Fam,Connector,IND,13.7,12.5,OVER,11,-2.7,,,PTS,STRONG,Miss,,0.4168,,,,,,,,,,
7/28/2026,A'ja Wilson,Engine,POR,2.89,3.5,UNDER,4,1.11,,,AST,LOCK,Miss,,0.1301,,,,,,,,,,
7/28/2026,A'ja Wilson,Engine,POR,1.15,0.5,OVER,1,-0.15,,,FG3M,STRONG,Hit,,0.1193,,,,,,,,,,
7/28/2026,Awa Fam,Connector,IND,2.36,1.5,OVER,1,-1.36,,,FG3M,LEAN,Miss,,0.0944,,,,,,,,,,
7/28/2026,Chelsea Gray,Creator,POR,6.86,6.5,OVER,7,0.14,,,AST,STRONG,Hit,,0.0536,,,,,,,,,,
7/28/2026,Jonquel Jones,Secondary Scorer,LA,9.98,9.5,OVER,5,-4.98,,,REB,STRONG,Miss,,0.0363,,,,,,,,,,
7/28/2026,Olivia Miles,Engine,TOR,4.87,4.5,OVER,6,1.13,,,REB,STRONG,Hit,,-0.0055,,,,,,,,,,
7/28/2026,Nneka Ogwumike,Engine,NYL,9.36,8.5,OVER,4,-5.36,,,REB,LEAN,Miss,,-0.0215,,,,,,,,,,
7/28/2026,Sabrina Ionescu,Secondary Scorer,LA,3.48,5.5,UNDER,6,2.52,,,AST,LOCK,Miss,,-0.0259,,,,,,,,,,
7/28/2026,Kayla McBride,Specialist,TOR,3.69,2.5,OVER,1,-2.69,,,REB,LOCK,Miss,,-0.0312,,,,,,,,,,
7/28/2026,Sonia Citron,Engine,CON,3.81,3.5,OVER,4,0.19,,,AST,LEAN,Hit,,-0.1055,,,,,,,,,,
